comp_ratio,q_comp_mvar,converged,v_off,loading,p_grid,q_grid,losses
0.0,0.0,True,1.076513771198034,95.15468176342412,190.5813717894988,95.5705669281001,9.418628210501197
0.05,5.473911039614856,True,1.0746910861550387,94.5388658532933,190.6388894195893,89.59594667571673,9.361110580410525
0.1,10.947822079229711,True,1.0728738717520674,93.94125926919838,190.69149209518162,83.63189920703871,9.308507904818612
0.15000000000000002,16.421733118844568,True,1.0710621062556014,93.36200314131288,190.73922713508227,77.6783822058137,9.26077286491784
0.2,21.895644158459422,True,1.0692557680233299,92.80123319822832,190.78214142199283,71.7353535019954,9.217858578007252
0.25,27.369555198074277,True,1.067454835503924,92.25907930844942,190.82028140665363,65.80277107208349,9.179718593346678
0.30000000000000004,32.843466237689135,True,1.0656592872368047,91.73566502076062,190.85369311194847,59.88059303943487,9.146306888051413
0.35000000000000003,38.31737727730399,True,1.0638691018519146,91.23110710568284,190.88242213697265,53.96877767457181,9.117577863027407
0.4,43.791288316918845,True,1.0620842580694803,90.74551510034911,190.90651366105658,48.06728339545066,9.093486338943535
0.45,49.2651993565337,True,1.060304734699775,90.27899085925209,190.92601244775562,42.17606876772538,9.073987552244404
0.5,54.739110396148554,True,1.058530510642877,89.83162811338909,190.9409628487989,36.295092504982904,9.059037151200783
0.55,60.213021435763416,True,1.0567615648884279,89.40351204040937,190.9514088080016,30.424313468966375,9.048591191998497
0.6000000000000001,65.68693247537827,True,1.0549978765153798,88.99471884840669,190.95739386513594,24.563690669769358,9.042606134863973
0.65,71.16084351499312,True,1.0532394246917531,88.60531537603336,190.9589611597711,18.713183266027954,9.041038840228708
0.7000000000000001,76.63475455460798,True,1.0514861886743803,88.2353587115899,190.95615343506984,12.872750565079514,9.043846564930192
0.75,82.10866559422283,True,1.0497381478086516,87.88489583372939,190.94901304155178,7.042352023113153,9.050986958448135
0.8,87.58257663383769,True,1.0479952815282587,87.6027948681395,190.93758194081988,1.2219472452989066,9.062418059179976
0.8500000000000001,93.05648767345255,True,1.046257569354936,88.03908254088819,190.92190170925073,-4.5885040140956335,9.078098290749239
0.9,98.5303987130674,True,1.0445249908981973,88.4899133539402,190.90201354164833,-10.389041851608681,9.097986458351585
0.9500000000000001,104.00430975268226,True,1.042797525855074,88.95489844948659,190.87795825486376,-16.179706214500584,9.122041745136187
1.0,109.47822079229711,True,1.0410751540098468,89.43365176742843,190.8497762913795,-21.96053690068902,9.150223708620587
