demand_mw,price
1908.9,29.88811179768895
1966.4186440677968,30.1860586691824
2023.9372881355932,30.48400554067586
2081.45593220339,30.78195241216931
2138.9745762711864,31.079899283662762
2196.493220338983,31.377846155156213
2254.0118644067798,31.675793026649664
2311.5305084745764,31.973739898143123
2369.049152542373,32.271686769636574
2426.56779661017,32.569633641130025
2484.086440677966,32.867580512623476
2541.6050847457627,33.16552738411693
2599.1237288135594,33.46347425561038
2656.642372881356,33.76142112710383
2714.161016949153,34.05936799859728
2771.6796610169495,34.35731487009073
2829.198305084746,34.6552617415842
2886.716949152543,34.95320861307765
2944.2355932203395,35.2511554845711
3001.754237288136,35.54910235606455
3059.272881355933,35.847049227558
3116.7915254237287,36.144996099051454
3174.3101694915254,36.442942970544905
3231.828813559322,36.74088984203836
3289.3474576271187,37.03883671353181
3346.8661016949154,37.33678358502526
3404.384745762712,37.63473045651871
3461.903389830509,37.93267732801216
3519.422033898305,38.23062419950561
3576.9406779661017,38.52857107099908
3634.4593220338984,38.82651794249253
3691.977966101695,39.12446481398598
3749.4966101694913,39.42241168547943
3807.015254237288,39.72035855697288
3864.5338983050847,40.00181871953606
3922.0525423728814,40.031420965497574
3979.571186440678,40.0610232114591
4037.0898305084747,40.09062545742063
4094.6084745762714,40.12022770338214
4152.127118644068,40.14982994934367
4209.645762711864,40.179432195305196
4267.1644067796615,40.20903444126672
4324.683050847458,40.23863668722824
4382.201694915255,40.268238933189764
4439.720338983051,40.29784117915129
4497.238983050848,40.327443425112804
4554.757627118644,40.35704567107433
4612.276271186442,40.38664791703586
4669.794915254238,40.416250162997386
4727.313559322034,40.4458524089589
4784.832203389831,40.475454654920426
4842.350847457627,40.505056900881954
4899.869491525425,40.53465914684347
4957.388135593221,40.564261392804994
5014.906779661018,40.59386363876652
5072.425423728814,40.62346588472805
5129.94406779661,40.65306813068956
5187.462711864407,40.68267037665109
5244.981355932204,40.712272622612616
5302.5,40.74187486857413
